@ NAME             %05s "TWISS"
@ TYPE             %05s "TWISS"
@ SEQUENCE         %04s "IOTA"
@ PARTICLE         %06s "PROTON"
@ MASS             %le        0.9382720813
@ CHARGE           %le                   1
@ ENERGY           %le             0.94077
@ PC               %le       0.06851054191
@ GAMMA            %le         1.002662254
@ KBUNCH           %le                   1
@ BCURRENT         %le                   0
@ SIGE             %le               0.001
@ SIGT             %le                   1
@ NPART            %le                   0
@ EX               %le                   1
@ EY               %le                   1
@ ET               %le               0.001
@ BV_FLAG          %le                   1
@ LENGTH           %le         39.96606465
@ ALFA             %le       0.07080135745
@ ORBIT5           %le                  -0
@ GAMMATR          %le         3.758194112
@ Q1               %le                5.31
@ Q2               %le                5.32
@ DQ1              %le        -131.1924228
@ DQ2              %le        -114.5938024
@ DXMAX            %le         33.93631269
@ DYMAX            %le                  -0
@ XCOMAX           %le                   0
@ YCOMAX           %le                   0
@ BETXMAX          %le         6.258189708
@ BETYMAX          %le         5.627607485
@ XCORMS           %le                   0
@ YCORMS           %le                   0
@ DXRMS            %le         10.11385117
@ DYRMS            %le                   0
@ DELTAP           %le                   0
@ SYNCH_1          %le                   0
@ SYNCH_2          %le                   0
@ SYNCH_3          %le                   0
@ SYNCH_4          %le                   0
@ SYNCH_5          %le                   0
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.05.02 Darwin 64"
@ DATE             %08s "07/11/20"
@ TIME             %08s "00.35.35"
* NAME                                S               BETX               ALFX                 DX                DPX               BETY               ALFY 
$ %s                                %le                %le                %le                %le                %le                %le                %le 
 "M2R"                      8.871912564        1.764225159        2.286230731        4.979462581        11.80963851        0.630641306       -1.590674237
 "DEDGE602"                 8.871912564        1.764225159        2.286230731        4.979462581        11.80963851        0.630641306       -1.625810001
 "DRIFT_16"                 9.059016164          1.0322614        1.625846639        7.189088462        11.80963851        1.441273333       -2.706720356
 "SQC1R"                    9.159016164       0.7423871753        1.272895604        8.370052313        11.80963851        2.040388091       -3.284427228
 "DRIFT_17"                 9.321516164       0.4218972367       0.6993501721        10.28911857        11.80963851        3.260377661       -4.223200894
 "QC1R"                     9.531516164       0.4916036944       -1.094794107        16.24704443        47.72508061        3.028889263        5.097134276
 "DRIFT_18"                 9.886516164        1.832522692       -2.682442506        33.18944804        47.72508061       0.5325310049        1.934860816
 "QC2R"                     10.09651616        1.954658654        2.207412512        33.93631251       -40.92904348       0.2038278317      -0.1023899249
 "DRIFT_19"                 10.45151616       0.7660313202        1.140833536        19.40650224       -40.92904348       0.9012980656       -1.862314981
 "QC3R"                     10.66151616       0.7888184337       -1.270115165        16.01476534        7.036195564        1.146834093       0.9354817819
 "DRIFT_20"                 10.82401616        1.289084314       -1.808444099        17.15814712        7.036195564       0.8859779397        0.669786854
 "SQC2R"                    10.92401616        1.683901068       -2.139723443        17.86176667        7.036195564        0.768371026        0.506282283
 "DRIFT_21"                 11.11111976        2.600574455       -2.759559022        19.17826419        7.036195564       0.6361558337       0.2003593444
 "DEDGE603"                 11.11111976        2.600574455       -2.759559022        19.17826419        7.036195564       0.6361558337        0.164916342
 "M3R"                      11.86910499        3.681696596        1.897212119        18.96943971       -7.535896209        1.313856778       -1.058998331
 "DEDGE604"                 11.86910499        3.681696596        1.897212119        18.96943971       -7.535896209        1.313856778       -1.132198995
 "DRIFT_22"                 12.34620859        2.155730578        1.301183403         15.3740365       -7.535896209        2.789547727       -1.960820948
 "SQD1R"                    12.44620859        1.907986545        1.176256927        14.62044688       -7.535896209        3.199079674        -2.13449852
